"","stations","MAE","MSE","RMSE","R2"
"1","1131",3.14255183516444,16.7495768456385,4.0926246890765,0.207630899501678
"2","4853",3.25773434994736,19.2365679657368,4.38595120421293,0.187230863533269
"3","5361",3.97429303917511,23.6351012218627,4.8615945143402,0.434925223498405
"4","6968",2.50666914928959,13.7232099814425,3.70448511691469,0.242753840829386
"5","14069",4.48434281489314,30.0717173549889,5.48376853586919,0.215682485504312
"6","14301",1.92619321371517,10.0550448226806,3.17096906681232,0.744866617572275
"7","17814",2.15555203169965,13.1616360771201,3.62789692206381,0.800083817277046
"8","18169",3.17340695467547,25.9879434505547,5.09783713456547,0.605511404571853
"9","22168",2.32522173538322,13.1616732911339,3.62790205092887,0.705953493148441
"10","23072",2.73915100271014,10.8601908690683,3.29548037000197,0.510719300878167
"11","23278",1.66559915092739,6.56692288739611,2.56260080531403,0.760223663788943
"12","24661",1.73402500969709,9.63735403771299,3.10440880647395,0.837857148687677
"13","25349",2.73098908191998,37.0259950700288,6.08489893671446,0.267604369277486
"14","26069",2.79227764746722,11.9907863141512,3.46277147876541,0.823811840782404
"15","26157",1.71743103972871,6.86766470961098,2.62062296212389,0.779550451467113
"16","26539",3.30989304027062,16.8338385378203,4.10290610882339,0.679079213416003
"17","27953",4.09983912523845,22.9950696309203,4.79531746925272,0.537095365261863
"18","29629",3.69423074696075,18.1562840020634,4.26101912716469,0.610515146492902
"19","30168",2.05932077567567,10.4936681454791,3.23939317550048,0.697240511386122
"20","30308",1.95772406792778,12.5585624172071,3.54380620480397,0.853465575853309
"21","30766",1.82390141058351,21.3053266630305,4.61576934681864,0.667411046359639
"22","34095",1.95011824747936,16.3207572133749,4.0398956933781,0.871207519794052
"23","34508",4.52904379191471,82.8225373721751,9.10068884053153,-0.668904145063951
"24","39518",5.2195937924604,236.190027404044,15.3684751164208,0.547297907034525
"25","41832",3.25242935787293,54.7275153593874,7.39780476623893,0.228458097735196
"26","44333",3.3393545904644,22.3205149982363,4.72445922812721,0.352801740586371
"27","45463",2.65018882007681,19.951840172824,4.46674827730688,0.646630654096765
"28","46432",3.88891070871957,21.7318429747052,4.66174248266732,0.37092091007333
"29","46903",2.18115461066225,14.1704875246462,3.76437080063139,0.676273237002697
"30","47623",1.88896875265345,9.61846514214028,3.10136504496654,0.637725284519964
"31","48771",2.75678191802333,13.7934468044443,3.71395298899223,0.878273287645651
"32","49293",2.0025446652899,12.5768664317604,3.54638780053174,0.483417072611826
"33","50936",3.16152596141657,19.3310834424179,4.3967127996286,0.171538105201142
"34","55906",8.53331515788227,83.7648880356423,9.15231599299556,-2.58250680618877
"35","All",3.00630175015357,27.7721546314649,5.42741854090292,0.551741629765942
