"stations","MAE","MSE","RMSE","NSE","Bias","R2"
1131,3.04488586135089,15.4272327674698,3.92775161733399,0.173885992523937,-2.71045542341188,0.611802130617033
4853,3.24160346415109,19.2548287117792,4.38803244196977,0.0997243402858435,-2.03699199218992,0.361096221305757
5361,4.01303414463446,23.6586533659927,4.86401617657596,0.354301405198882,-3.38785889304832,0.668574795432984
6968,2.34622142432748,11.8818470837234,3.44700552417941,0.301651551079824,-1.5427596336801,0.563939606785466
14069,4.50239882777666,30.7692123766092,5.54700030436354,0.203885346305941,4.34946880453352,0.726989316304598
14301,2.08023045091847,10.8787700042329,3.29829804660418,0.708274088517717,1.05580507025552,0.783820472645629
17814,2.10069222446363,14.1489339286559,3.76150686941496,0.744813281320009,-0.624890790889173,0.799475583118907
18169,3.13178002410027,24.0796448115551,4.90710146741996,0.626928846077952,0.527889142794146,0.630267080771331
22168,2.39350112531549,13.9600207226602,3.73631111159928,0.668158356488283,0.868238148059778,0.685916483660226
23072,2.65875942589758,10.289364498647,3.20770392939357,0.512725173266188,-2.45366779314423,0.817082893881595
23278,1.63067219650954,6.10928517720594,2.47169682145807,0.772715316041118,0.273494334319141,0.774916374039591
24661,1.60318004015125,6.79107947089278,2.6059699673812,0.867819019321899,-0.314791429884747,0.890634956537071
25349,2.49127396322687,26.0406239179166,5.10300146168082,0.403954553988368,-0.372947958541668,0.471246726114127
26069,2.41234834401877,9.55066502046754,3.09041502398425,0.842773906766828,2.04724450130605,0.931660010385274
26157,1.69472111215389,6.25627146543791,2.50125397859512,0.791396696509398,0.28970806154731,0.793962363728073
26539,3.26850601679639,15.319858214153,3.91405904581842,0.66937073597177,3.13373125202841,0.894575638277676
27953,4.35538173499353,25.309623041799,5.03086702684527,0.423171904654451,-3.94983455041728,0.777809950151715
29629,3.42468954850951,16.1454315638385,4.01813782290236,0.621641371926373,3.33877227945334,0.891242602004937
30168,2.14007323149016,10.6972861524141,3.27067059674527,0.706112388239699,0.7209571454276,0.761710220021923
30308,1.81734501768019,9.53469722288397,3.08783050423497,0.872089840897564,1.04660138078529,0.887806331710037
30766,1.91053096623343,20.0233776569035,4.47474889316747,0.642202502890796,0.689981577452131,0.679872032672091
34095,1.82032693743074,13.6405490559938,3.6933113943985,0.873455815137828,0.237233794631255,0.880049951852494
34508,4.42489856902653,61.9288064559877,7.86948578091274,-0.408589138854479,-1.81587420278138,0.494198187944795
39518,5.10321280961541,202.659760406733,14.2358617725354,0.53769246343784,4.7858661764582,0.7723317635977
41832,2.8066936132128,39.2517756483268,6.26512375363223,0.357401983210044,-2.17881124300334,0.813880298348726
44333,3.43244956022046,22.019489038417,4.69249283839806,0.361530189605076,0.697897007780765,0.453581569672534
45463,2.53808446093789,17.2589062161698,4.15438397553353,0.648299415427006,-0.303611206098437,0.650820487708854
46432,3.76336694236523,20.5424716105117,4.53238034707059,0.373595471453765,-3.41983939777331,0.730709154621408
46903,2.17645144187169,14.0213349719974,3.7445073069761,0.629049245952747,-1.63086265554208,0.734372919014526
47623,2.23617160831913,13.2261441834,3.63677661994795,0.530342467561556,0.947961795690958,0.579578466647302
48771,3.52695464432211,42.6299668011096,6.52916279480835,0.569997669879256,-0.588342045454354,0.73322880853302
49293,1.91104371294758,10.8738613388234,3.29755384168681,0.51918533676929,-0.634643983415691,0.623253983304683
50936,3.12865733219054,19.3233411986354,4.39583225324117,0.131675971732128,-2.63821595993869,0.563903191554706
55906,8.62580247503654,84.3286718225138,9.18306440261168,-2.83034365802449,8.58519417624707,0.562223258769779
NA,2.9514014227046,25.1703120944709,5.01700230162105,0.572835935423868,0.192917681413282,0.584577852722255
