"","Id","Avg_Day244","Avg_Day245","Avg_Day282","Avg_Day283","Avg_Day284","Avg_Day285","Avg_Day286"
"1",1131,10.1,14.6,6.4,9,33.4,26.8,34.3
"2",4853,18.1,20.8,12.6,16.9,41,30,0
"3",5361,19.2,17.6,11.2,15,40.7,34.7,48.4
"4",6968,12.6,15.9,9.2,11.5,38,22.4,36.8
"5",14069,42.2,34.2,0,0,36.7,39.6,48.4
"6",14301,42.2,34.3,5.3,17.25,39,33.8,48.4
"7",17814,37.5,26.9,0,0,45.5,60.8,57.7
"8",18169,40.5,41.1,16,16.5,45.9,9.1,15.8
"9",22168,41,34.7,15.3,15.83333333,44.6,15,29.4
"10",23072,35.6,22.5,16.5,16.6,37.1,10.4,15.9
"11",23278,32.7,31.3,19.2,18.1,37.6,33.6,22.7
"12",24661,39.9,32.4,19.3,20.9,44.6,57.6,70.2
"13",25349,45.3,36.3,35.2,45.9,24.8,49.9,34.5
"14",26069,46.2,36.3,27.7,33.1,37.6,63.1,70.8
"15",26157,40.4,36.4,13.6,16,42.7,11.3,24.5
"16",26539,47.7,36.7,29.1,34.7,33.7,55.4,55.9
"17",27953,42,29.6,24.2,41.5,29.7,47.3,48.5
"18",29629,35.5,32.8,21.6,26.2,89.4,62.6,60
"19",30168,0,0,18.95,21.05,38.35,20.95,50.85
"20",30308,42.7,34.6,42.8,68.5,33.1,58.6,71.2
"21",30766,41.5,31.6,74.7,65.6,29.2,55.9,39.7
"22",34095,46.35,39.4,32.6,72.1,65.1,78.7,100.35
"23",34508,34.5,0,0,31.4,0,0,7.6
"24",39518,44.9,32.9,67.5,170.6,108.6,102.2,199.1
"25",41832,33.4,23,56.7,81.8,25.7,19.6,33.5
"26",44333,32.3,32.2,14.5,15.3,27.4,8.9,12.3
"27",45463,45.5,39.4,15.1,59.2,40.3,7.5,6.2
"28",46432,45.25,35.7,14.6,24.76666667,33.9,7.05,8.8
"29",46903,46.9,0,0,25.1,0,0,10.4
"30",47623,39.5,35.45,16.7,19.5,26.5,6.65,8.6
"31",48771,0,0,0,60.1,0,0,0
"32",49293,27.3,26.2,13.65,12.8,32.95,9.8,15.95
"33",50936,28.8,25.3,13.1,11.26666667,22.5,5.1,9.7
"34",55906,25.8,25.2,5.5,8.7,28.5,17.8,5.8
