Model,Bias,MAE,MSE,RMSE,NSE,R2
CAT,-0.339635822,2.514239329,21.02509144,3.913815522,0.773679711,0.856482077
GBM,-0.277148983,2.556801633,21.00421568,3.986285176,0.75825809,0.83476404
NN,-0.828448168,3.251646529,34.77982882,5.455487474,0.54625977,0.636286133
RF,-0.386430928,2.635694049,22.44535073,4.195334573,0.732335959,0.808577175
NN_tune,-0.544107901,3.309472281,33.09781224,5.298746252,0.561980473,0.661663135
KNNunif,-0.743128724,4.390515388,72.42677628,8.027856155,0.025482585,0.157171112
KNNdist,-0.738091168,4.367503207,72.5534925,8.041381157,0.018588061,0.159929945
GMBcustom,-0.431147736,2.414370733,19.75158282,3.826110029,0.778859545,0.84997819
XT,-0.331876676,2.660305647,22.00493971,4.135804777,0.742951433,0.819429104
Two-Stage,0.313349125,2.474023697,20.93916135,4.072428128,0.72902728,0.827194547
